"chess960_scharnagl_sp_idn","rank_1_white","rank_8_black","standard_fen","shredder_fen","is_chess960","is_classical"
24,"NBQNBRKR","nbqnbrkr","nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w KQkq - 0 1","nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf - 0 1",1,0
25,"NQNBBRKR","nqnbbrkr","nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w KQkq - 0 1","nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf - 0 1",1,0
26,"NQNRBBKR","nqnrbbkr","nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w KQkq - 0 1","nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd - 0 1",1,0
27,"NQNRBKRB","nqnrbkrb","nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w KQkq - 0 1","nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd - 0 1",1,0
28,"NBQNRKBR","nbqnrkbr","nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w KQkq - 0 1","nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe - 0 1",1,0
29,"NQNBRKBR","nqnbrkbr","nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w KQkq - 0 1","nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w HEhe - 0 1",1,0
30,"NQNRKBBR","nqnrkbbr","nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w KQkq - 0 1","nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w HDhd - 0 1",1,0
31,"NQNRKRBB","nqnrkrbb","nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w KQkq - 0 1","nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w FDfd - 0 1",1,0
32,"BBNNQRKR","bbnnqrkr","bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w KQkq - 0 1","bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w HFhf - 0 1",1,0
33,"BNNBQRKR","bnnbqrkr","bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w KQkq - 0 1","bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w HFhf - 0 1",1,0
