"chess960_scharnagl_sp_idn","rank_1_white","rank_8_black","standard_fen","shredder_fen","is_chess960","is_classical"
103,"QNBRNKRB","qnbrnkrb","qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w KQkq - 0 1","qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w GDgd - 0 1",1,0
104,"QBNRBNKR","qbnrbnkr","qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w KQkq - 0 1","qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w HDhd - 0 1",1,0
105,"QNRBBNKR","qnrbbnkr","qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w KQkq - 0 1","qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w HChc - 0 1",1,0
106,"QNRNBBKR","qnrnbbkr","qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w KQkq - 0 1","qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w HChc - 0 1",1,0
107,"QNRNBKRB","qnrnbkrb","qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w KQkq - 0 1","qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w GCgc - 0 1",1,0
108,"QBNRNKBR","qbnrnkbr","qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w KQkq - 0 1","qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w HDhd - 0 1",1,0
109,"QNRBNKBR","qnrbnkbr","qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w KQkq - 0 1","qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w HChc - 0 1",1,0
110,"QNRNKBBR","qnrnkbbr","qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w KQkq - 0 1","qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w HChc - 0 1",1,0
111,"QNRNKRBB","qnrnkrbb","qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w KQkq - 0 1","qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w FCfc - 0 1",1,0
112,"BBNQRNKR","bbnqrnkr","bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w KQkq - 0 1","bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w HEhe - 0 1",1,0
113,"BNQBRNKR","bnqbrnkr","bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w KQkq - 0 1","bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w HEhe - 0 1",1,0
114,"BNQRNBKR","bnqrnbkr","bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w KQkq - 0 1","bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w HDhd - 0 1",1,0
115,"BNQRNKRB","bnqrnkrb","bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w KQkq - 0 1","bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w GDgd - 0 1",1,0
116,"NBBQRNKR","nbbqrnkr","nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w KQkq - 0 1","nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w HEhe - 0 1",1,0
117,"NQBBRNKR","nqbbrnkr","nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w KQkq - 0 1","nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w HEhe - 0 1",1,0
118,"NQBRNBKR","nqbrnbkr","nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w KQkq - 0 1","nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w HDhd - 0 1",1,0
119,"NQBRNKRB","nqbrnkrb","nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w KQkq - 0 1","nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w GDgd - 0 1",1,0
120,"NBQRBNKR","nbqrbnkr","nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w KQkq - 0 1","nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w HDhd - 0 1",1,0
121,"NQRBBNKR","nqrbbnkr","nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w KQkq - 0 1","nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w HChc - 0 1",1,0
122,"NQRNBBKR","nqrnbbkr","nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w KQkq - 0 1","nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w HChc - 0 1",1,0
123,"NQRNBKRB","nqrnbkrb","nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w KQkq - 0 1","nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w GCgc - 0 1",1,0
124,"NBQRNKBR","nbqrnkbr","nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w KQkq - 0 1","nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w HDhd - 0 1",1,0
125,"NQRBNKBR","nqrbnkbr","nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w KQkq - 0 1","nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w HChc - 0 1",1,0
126,"NQRNKBBR","nqrnkbbr","nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w KQkq - 0 1","nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w HChc - 0 1",1,0
127,"NQRNKRBB","nqrnkrbb","nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w KQkq - 0 1","nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w FCfc - 0 1",1,0
128,"BBNRQNKR","bbnrqnkr","bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w KQkq - 0 1","bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w HDhd - 0 1",1,0
129,"BNRBQNKR","bnrbqnkr","bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w KQkq - 0 1","bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w HChc - 0 1",1,0
130,"BNRQNBKR","bnrqnbkr","bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w KQkq - 0 1","bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w HChc - 0 1",1,0
131,"BNRQNKRB","bnrqnkrb","bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w KQkq - 0 1","bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w GCgc - 0 1",1,0
132,"NBBRQNKR","nbbrqnkr","nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w KQkq - 0 1","nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w HDhd - 0 1",1,0
133,"NRBBQNKR","nrbbqnkr","nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w KQkq - 0 1","nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w HBhb - 0 1",1,0
134,"NRBQNBKR","nrbqnbkr","nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w KQkq - 0 1","nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w HBhb - 0 1",1,0
135,"NRBQNKRB","nrbqnkrb","nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w KQkq - 0 1","nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w GBgb - 0 1",1,0
136,"NBRQBNKR","nbrqbnkr","nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w KQkq - 0 1","nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w HChc - 0 1",1,0
137,"NRQBBNKR","nrqbbnkr","nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w KQkq - 0 1","nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w HBhb - 0 1",1,0
138,"NRQNBBKR","nrqnbbkr","nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w KQkq - 0 1","nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w HBhb - 0 1",1,0
139,"NRQNBKRB","nrqnbkrb","nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w KQkq - 0 1","nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w GBgb - 0 1",1,0
140,"NBRQNKBR","nbrqnkbr","nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w KQkq - 0 1","nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w HChc - 0 1",1,0
141,"NRQBNKBR","nrqbnkbr","nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w KQkq - 0 1","nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w HBhb - 0 1",1,0
142,"NRQNKBBR","nrqnkbbr","nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w KQkq - 0 1","nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w HBhb - 0 1",1,0
143,"NRQNKRBB","nrqnkrbb","nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w KQkq - 0 1","nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w FBfb - 0 1",1,0
144,"BBNRNQKR","bbnrnqkr","bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w KQkq - 0 1","bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w HDhd - 0 1",1,0
145,"BNRBNQKR","bnrbnqkr","bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w KQkq - 0 1","bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w HChc - 0 1",1,0
146,"BNRNQBKR","bnrnqbkr","bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w KQkq - 0 1","bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc - 0 1",1,0
147,"BNRNQKRB","bnrnqkrb","bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w KQkq - 0 1","bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc - 0 1",1,0
148,"NBBRNQKR","nbbrnqkr","nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w KQkq - 0 1","nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd - 0 1",1,0
149,"NRBBNQKR","nrbbnqkr","nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w KQkq - 0 1","nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb - 0 1",1,0
150,"NRBNQBKR","nrbnqbkr","nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w KQkq - 0 1","nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb - 0 1",1,0
151,"NRBNQKRB","nrbnqkrb","nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w KQkq - 0 1","nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb - 0 1",1,0
152,"NBRNBQKR","nbrnbqkr","nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w KQkq - 0 1","nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc - 0 1",1,0
153,"NRNBBQKR","nrnbbqkr","nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w KQkq - 0 1","nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb - 0 1",1,0
154,"NRNQBBKR","nrnqbbkr","nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w KQkq - 0 1","nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb - 0 1",1,0
155,"NRNQBKRB","nrnqbkrb","nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w KQkq - 0 1","nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb - 0 1",1,0
156,"NBRNQKBR","nbrnqkbr","nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w KQkq - 0 1","nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc - 0 1",1,0
157,"NRNBQKBR","nrnbqkbr","nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w KQkq - 0 1","nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb - 0 1",1,0
158,"NRNQKBBR","nrnqkbbr","nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w KQkq - 0 1","nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb - 0 1",1,0
159,"NRNQKRBB","nrnqkrbb","nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w KQkq - 0 1","nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb - 0 1",1,0
160,"BBNRNKQR","bbnrnkqr","bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w KQkq - 0 1","bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd - 0 1",1,0
161,"BNRBNKQR","bnrbnkqr","bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w KQkq - 0 1","bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc - 0 1",1,0
162,"BNRNKBQR","bnrnkbqr","bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w KQkq - 0 1","bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc - 0 1",1,0
163,"BNRNKQRB","bnrnkqrb","bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w KQkq - 0 1","bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc - 0 1",1,0
164,"NBBRNKQR","nbbrnkqr","nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w KQkq - 0 1","nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd - 0 1",1,0
165,"NRBBNKQR","nrbbnkqr","nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w KQkq - 0 1","nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb - 0 1",1,0
166,"NRBNKBQR","nrbnkbqr","nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w KQkq - 0 1","nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb - 0 1",1,0
167,"NRBNKQRB","nrbnkqrb","nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w KQkq - 0 1","nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb - 0 1",1,0
168,"NBRNBKQR","nbrnbkqr","nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w KQkq - 0 1","nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc - 0 1",1,0
169,"NRNBBKQR","nrnbbkqr","nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w KQkq - 0 1","nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb - 0 1",1,0
170,"NRNKBBQR","nrnkbbqr","nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w KQkq - 0 1","nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb - 0 1",1,0
171,"NRNKBQRB","nrnkbqrb","nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w KQkq - 0 1","nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb - 0 1",1,0
172,"NBRNKQBR","nbrnkqbr","nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w KQkq - 0 1","nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc - 0 1",1,0
173,"NRNBKQBR","nrnbkqbr","nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w KQkq - 0 1","nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb - 0 1",1,0
174,"NRNKQBBR","nrnkqbbr","nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w KQkq - 0 1","nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb - 0 1",1,0
175,"NRNKQRBB","nrnkqrbb","nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w KQkq - 0 1","nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w FBfb - 0 1",1,0
176,"BBNRNKRQ","bbnrnkrq","bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w KQkq - 0 1","bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w GDgd - 0 1",1,0
177,"BNRBNKRQ","bnrbnkrq","bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w KQkq - 0 1","bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w GCgc - 0 1",1,0
178,"BNRNKBRQ","bnrnkbrq","bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w KQkq - 0 1","bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w GCgc - 0 1",1,0
179,"BNRNKRQB","bnrnkrqb","bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w KQkq - 0 1","bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w FCfc - 0 1",1,0
180,"NBBRNKRQ","nbbrnkrq","nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w KQkq - 0 1","nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w GDgd - 0 1",1,0
181,"NRBBNKRQ","nrbbnkrq","nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w KQkq - 0 1","nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w GBgb - 0 1",1,0
182,"NRBNKBRQ","nrbnkbrq","nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w KQkq - 0 1","nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w GBgb - 0 1",1,0
183,"NRBNKRQB","nrbnkrqb","nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w KQkq - 0 1","nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w FBfb - 0 1",1,0
184,"NBRNBKRQ","nbrnbkrq","nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w KQkq - 0 1","nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w GCgc - 0 1",1,0
185,"NRNBBKRQ","nrnbbkrq","nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w KQkq - 0 1","nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w GBgb - 0 1",1,0
186,"NRNKBBRQ","nrnkbbrq","nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w KQkq - 0 1","nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w GBgb - 0 1",1,0
187,"NRNKBRQB","nrnkbrqb","nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w KQkq - 0 1","nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w FBfb - 0 1",1,0
188,"NBRNKRBQ","nbrnkrbq","nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w KQkq - 0 1","nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w FCfc - 0 1",1,0
189,"NRNBKRBQ","nrnbkrbq","nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w KQkq - 0 1","nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w FBfb - 0 1",1,0
190,"NRNKRBBQ","nrnkrbbq","nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w KQkq - 0 1","nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w EBeb - 0 1",1,0
191,"NRNKRQBB","nrnkrqbb","nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w KQkq - 0 1","nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w EBeb - 0 1",1,0
192,"BBQNRKNR","bbqnrknr","bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w KQkq - 0 1","bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w HEhe - 0 1",1,0
193,"BQNBRKNR","bqnbrknr","bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w KQkq - 0 1","bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w HEhe - 0 1",1,0
194,"BQNRKBNR","bqnrkbnr","bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w KQkq - 0 1","bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w HDhd - 0 1",1,0
195,"BQNRKNRB","bqnrknrb","bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w KQkq - 0 1","bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w GDgd - 0 1",1,0
196,"QBBNRKNR","qbbnrknr","qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w KQkq - 0 1","qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w HEhe - 0 1",1,0
197,"QNBBRKNR","qnbbrknr","qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w KQkq - 0 1","qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w HEhe - 0 1",1,0
198,"QNBRKBNR","qnbrkbnr","qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w KQkq - 0 1","qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w HDhd - 0 1",1,0
199,"QNBRKNRB","qnbrknrb","qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w KQkq - 0 1","qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w GDgd - 0 1",1,0
200,"QBNRBKNR","qbnrbknr","qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w KQkq - 0 1","qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w HDhd - 0 1",1,0
201,"QNRBBKNR","qnrbbknr","qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w KQkq - 0 1","qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w HChc - 0 1",1,0
202,"QNRKBBNR","qnrkbbnr","qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w KQkq - 0 1","qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w HChc - 0 1",1,0
203,"QNRKBNRB","qnrkbnrb","qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w KQkq - 0 1","qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w GCgc - 0 1",1,0
204,"QBNRKNBR","qbnrknbr","qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w KQkq - 0 1","qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w HDhd - 0 1",1,0
205,"QNRBKNBR","qnrbknbr","qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w KQkq - 0 1","qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w HChc - 0 1",1,0
206,"QNRKNBBR","qnrknbbr","qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w KQkq - 0 1","qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w HChc - 0 1",1,0
207,"QNRKNRBB","qnrknrbb","qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w KQkq - 0 1","qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w FCfc - 0 1",1,0
208,"BBNQRKNR","bbnqrknr","bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w KQkq - 0 1","bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w HEhe - 0 1",1,0
209,"BNQBRKNR","bnqbrknr","bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w KQkq - 0 1","bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w HEhe - 0 1",1,0
210,"BNQRKBNR","bnqrkbnr","bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w KQkq - 0 1","bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w HDhd - 0 1",1,0
211,"BNQRKNRB","bnqrknrb","bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w KQkq - 0 1","bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w GDgd - 0 1",1,0
212,"NBBQRKNR","nbbqrknr","nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w KQkq - 0 1","nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w HEhe - 0 1",1,0
